tipo	Admiration_2	Adoration_2	Aesthetic Appreciation_2	Amusement_2	Anger_2	Annoyance_2	Anxiety_2	Awe_2	Awkwardness_2	Boredom_2	Calmness_2	Concentration_2	Confusion_2	Contemplation_2	Contempt_2	Contentment_2	Craving_2	Desire_2	Determination_2	Disappointment_2	Disapproval_2	Disgust_2	Distress_2	Doubt_2	Ecstasy_2	Embarrassment_2	Empathic Pain_2	Enthusiasm_2	Entrancement_2	Envy_2	Excitement_2	Fear_2	Gratitude_2	Guilt_2	Horror_2	Interest_2	Joy_2	Love_2	Nostalgia_2	Pain_2	Pride_2	Realization_2	Relief_2	Romance_2	Sadness_2	Sarcasm_2	Satisfaction_2	Shame_2	Surprise (negative)_2	Surprise (positive)_2	Sympathy_2	Tiredness_2	Triumph_2
A_Preparatoria	0	0	0	0	0.11942	0.3694	0	0	0	0	0	0	0.12868	0.23796	0.17346	0	0	0	0	0.23291	0.57351	0.12722	0.13564	0.10553	0	0	0	0	0	0	0	0	0	0	0	0.2094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0.69711	0.24351	0	0	0	0	0	0	0.20329	0	0.44133	0	0	0	0	0.16448	0.52482	0.48925	0.26671	0	0	0	0.12425	0	0	0	0	0	0	0	0.24177	0	0	0	0	0.12929	0	0	0	0	0.1044	0	0	0	0.15991	0	0	0	0
A_Preparatoria	0	0	0	0	0	0	0	0	0	0	0	0	0.17102	0.44724	0	0	0	0	0	0.12857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14646	0	0	0.37	0	0	0	0	0.10034	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0.63652	0.53028	0	0	0	0	0	0	0	0	0.54341	0	0	0	0	0.37958	0.51547	0.50594	0.21446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13907	0	0	0	0	0	0	0	0	0.1134	0	0	0	0
A_Profesional	0	0	0	0	0.15214	0.34772	0	0	0	0	0	0	0	0.1374	0.29194	0	0	0	0	0.38652	0.71983	0.25695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13616	0	0	0	0
A_Preparatoria	0.18015	0	0	0	0	0	0	0	0	0	0.10599	0	0	0.27295	0	0.25797	0	0	0.44236	0	0	0	0	0	0	0	0.10424	0.30933	0	0	0	0	0.30503	0	0	0	0.10549	0	0	0	0.22578	0.22554	0.30893	0	0	0	0.38966	0	0	0.1047	0	0	0.42843
A_Profesional	0.10537	0	0	0	0	0.22693	0	0	0	0	0	0	0	0	0.13472	0	0	0	0	0	0.27055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0.27001	0	0	0	0	0	0	0	0.41434	0.15438	0	0	0	0	0.24442	0.37356	0	0.1294	0.1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33573	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0.42069	0.50991	0	0	0	0	0	0	0	0.16944	0.28777	0	0	0	0	0.16537	0.51615	0.11008	0.15701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0	0	0	0	0	0	0	0	0.42372	0.20209	0	0	0	0	0	0.18558	0	0	0	0.1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32127	0	0	0	0	0	0	0.39717	0.17947	0	0	0
A_Preparatoria	0	0	0	0	0	0.12535	0.10617	0	0	0	0	0.1213	0.1313	0.30518	0	0	0	0	0	0.10538	0.1138	0	0	0	0	0	0	0.13895	0	0	0	0	0	0	0	0.39406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
